invoicelineid,quantity,unitprice
1,2,40
2,10,2.08
3,1,4.96
4,12,1.65
5,1,0.79
6,12,0.83
7,2,1.95
8,3,4.95
9,1,2.55
10,2,16.98
11,2,2.95
12,10,1.65
13,2,2.08
14,6,3.75
15,2,9.95
16,10,1.25
17,2,2.55
18,4,2.08
19,2,1.65
20,1,1.45
21,3,4.13
22,3,4.13
23,1,3.75
24,1,1.63
25,6,2.95
26,12,1.25
27,2,2.1
28,10,0.85
29,1,15.79
30,3,0.21
31,1,3.75
32,48,0.29
33,4,3.75
34,3,5.79
35,1,4.95
36,8,2.95
37,4,8.5
38,1,0.42
39,6,2.49
40,12,1.65
41,2,2.08
42,12,1.65
43,100,1.79
44,6,3.75
45,20,2.08
46,2,8.25
47,400,2.55
48,4,3.29
49,8,3.75
50,10,2.08
51,24,0.85
52,48,0.42
53,11,5.06
54,2,2.08
55,16,7.5
56,3,17.1
57,3,1.65
58,1,11.02
59,1,3.75
60,10,1.25
61,12,0.85
62,1,2.95
63,4,3.75
64,3,4.95
65,24,0.85
66,30,3.39
67,1,1.45
68,2,0.39
69,2,0.29
70,12,1.69
71,5,2.95
72,3,1.65
73,2,12.46
74,3,0.81
75,1,0.85
76,-2,4.15
77,2,2.08
78,1,1.95
79,1,12.46
80,8,3.45
81,2,8.29
82,1,1.25
83,25,0.42
84,2,1.63
85,6,2.95
86,12,0.85
87,12,1.95
88,4,5.79
89,24,1.25
90,12,1.65
91,2,10.79
92,1,7.95
93,6,2.95
94,1,2.89
95,24,0.85
96,2,0.39
97,2,0.85
98,6,12.5
99,12,0.85
100,2,7.95
101,12,0.65
102,10,1.25
103,12,1.65
104,1,4.13
105,6,2.55
106,1,0.79
107,24,0.85
108,7,0.85
109,12,0.85
110,1,4.95
111,1,8.95
112,4,4.95
113,3,2.46
114,2,1.25
115,1,1.25
116,1,1.65
117,1,4.95
118,3,1.65
119,1,14.95
120,12,1.65
121,1,7.95
122,8,3.75
123,12,1.25
124,4,3.75
125,3,3.75
126,2,7.5
127,2,5.95
128,1,12.75
129,2,1.45
130,1,2.1
131,1,3.29
132,96,1.25
133,2,2.46
134,2,0.83
135,48,1.25
136,5,2.46
137,24,0.29
138,7,30.12
139,1,8.5
140,12,0.39
141,24,1.95
142,2,2.51
143,-46,30.12
144,2,1.65
145,12,1.25
146,3,1.66
147,-1,0.65
148,20,0.42
149,24,0.65
150,1,5.91
151,1,2.1
152,30,2.1
153,4,3.75
154,1,1.63
155,8,1.65
156,5,1.65
157,1,33.29
158,1,1.65
159,3,1.45
160,10,2.08
161,1,1.25
162,2,1.25
163,6,2.08
164,2,8.25
165,1,5.95
166,1,6.95
167,4,3.95
168,1,15
169,10,2.08
170,5,0.85
171,10,0.85
172,4,1.95
173,1,1.25
174,2,4.25
175,24,0.29
176,2,12.5
177,1,2.95
178,1,7.46
