invoiceno,invoicedate
536956,2010-12-03 12:43:00
C544901,2011-02-24 13:02:00
554921,2011-05-27 12:44:00
572309,2011-10-23 15:29:00
563534,2011-08-17 11:37:00
563909,2011-08-21 12:36:00
C554266,2011-05-23 12:48:00
563250,2011-08-15 11:38:00
554658,2011-05-25 14:18:00
563750,2011-08-19 10:18:00
537209,2010-12-05 15:12:00
563908,2011-08-21 12:21:00
554999,2011-05-29 15:44:00
544937,2011-02-25 10:09:00
545555,2011-03-03 15:17:00
554311,2011-05-23 15:28:00
545552,2011-03-03 15:11:00
571566,2011-10-18 10:19:00
563853,2011-08-19 15:22:00
537026,2010-12-03 16:35:00
571486,2011-10-17 14:59:00
555125,2011-05-31 15:26:00
555075,2011-05-31 12:05:00
564023,2011-08-22 12:16:00
571710,2011-10-18 15:54:00
572458,2011-10-24 12:51:00
572314,2011-10-23 15:59:00
C554140,2011-05-23 10:34:00
C545509,2011-03-03 11:54:00
536552,2010-12-01 14:34:00
537210,2010-12-05 15:15:00
571296,2011-10-16 16:13:00
545000,2011-02-25 12:37:00
537201,2010-12-05 14:19:00
572068,2011-10-20 13:20:00
537140,2010-12-05 12:53:00
C563606,2011-08-18 06:30:00
C572275,2011-10-23 09:42:00
C554361,2011-05-24 10:15:00
554371,2011-05-24 10:42:00
563741,2011-08-19 08:57:00
537065,2010-12-05 11:57:00
536561,2010-12-01 15:06:00
554824,2011-05-26 14:21:00
554640,2011-05-25 12:06:00
C571862,2011-10-19 13:45:00
554813,2011-05-26 13:26:00
571965,2011-10-20 10:41:00
554382,2011-05-24 11:55:00
563437,2011-08-16 12:52:00
C572546,2011-10-24 16:50:00
545135,2011-02-28 12:06:00
536546,2010-12-01 14:33:00
554314,2011-05-23 15:29:00
C554537,2011-05-24 17:45:00
563893,2011-08-19 17:10:00
537221,2010-12-05 15:54:00
554520,2011-05-24 17:03:00
571840,2011-10-19 12:16:00
545665,2011-03-04 15:20:00
571500,2011-10-17 15:09:00
C554374,2011-05-24 11:27:00
537055,2010-12-05 11:45:00
545546,2011-03-03 15:03:00
571745,2011-10-19 10:48:00
571550,2011-10-18 08:15:00
537206,2010-12-05 15:02:00
563246,2011-08-15 10:57:00
571719,2011-10-18 17:29:00
563857,2011-08-19 15:44:00
545578,2011-03-03 19:21:00
572045,2011-10-20 12:11:00
545574,2011-03-03 18:16:00
C563894,2011-08-21 09:18:00
536849,2010-12-03 09:45:00
545322,2011-03-01 14:56:00
572189,2011-10-21 11:08:00
537058,2010-12-05 11:51:00
536614,2010-12-02 09:44:00
571915,2011-10-19 15:34:00
544918,2011-02-24 16:30:00
572235,2011-10-21 14:42:00
545105,2011-02-28 11:58:00
572053,2011-10-20 12:28:00
563189,2011-08-12 15:22:00
544809,2011-02-23 15:41:00
563652,2011-08-18 10:43:00
571565,2011-10-18 10:18:00
563939,2011-08-22 09:28:00
545082,2011-02-28 10:37:00
571697,2011-10-18 14:49:00
563912,2011-08-21 12:58:00
545057,2011-02-27 12:49:00
C554973,2011-05-27 16:48:00
554526,2011-05-24 17:24:00
C572486,2011-10-24 13:51:00
563576,2011-08-17 15:06:00
536764,2010-12-02 14:42:00
555275,2011-06-01 17:18:00
571901,2011-10-19 14:36:00
572528,2011-10-24 15:43:00
572197,2011-10-21 11:56:00
571848,2011-10-19 12:50:00
545655,2011-03-04 13:58:00
545140,2011-02-28 12:08:00
554379,2011-05-24 11:35:00
554918,2011-05-27 12:29:00
545471,2011-03-03 10:34:00
572051,2011-10-20 12:24:00
C554872,2011-05-27 10:59:00
571891,2011-10-19 14:10:00
545424,2011-03-02 14:34:00
571720,2011-10-18 17:29:00
571511,2011-10-17 16:04:00
C545537,2011-03-03 14:14:00
554992,2011-05-29 14:08:00
545464,2011-03-03 09:10:00
545548,2011-03-03 15:08:00
572077,2011-10-20 14:09:00
572308,2011-10-23 15:27:00
544917,2011-02-24 15:56:00
554504,2011-05-24 15:13:00
C563601,2011-08-18 06:25:00
C554332,2011-05-23 17:14:00
C563592,2011-08-18 06:12:00
545184,2011-02-28 15:00:00
555107,2011-05-31 14:14:00
C571928,2011-10-19 16:44:00
536556,2010-12-01 14:38:00
572311,2011-10-23 15:45:00
536763,2010-12-02 14:42:00
C563220,2011-08-14 14:22:00
536985,2010-12-03 14:40:00
572284,2011-10-23 12:08:00
545062,2011-02-27 14:07:00
537022,2010-12-03 15:45:00
C572102,2011-10-20 15:56:00
536790,2010-12-02 15:26:00
C572120,2011-10-20 19:29:00
571844,2011-10-19 12:30:00
563208,2011-08-14 12:12:00
571741,2011-10-19 10:36:00
545414,2011-03-02 12:43:00
